id,zh,ja,repair,reson
教程：请拾起未熄灭的蜡烛,教程：请拾起未熄灭的蜡烛,チュートリアル：消えていないろうそくを拾ってください。,チュートリアル：消えていないろうそくを拾ってください。,标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
教程：找到熄灭的灯源并点亮它,教程：找到熄灭的灯源并点亮它,チュートリアル：消えた灯りを見つけて、点け直してください。,チュートリアル：消えた灯りを見つけて、点け直してください。,语义错；原译评分4/10；日语玩家感受：会觉得像漏译或错译，剧情理解会被打断。
教程：请点击陶谦的牌位,教程：请点击陶谦的牌位,チュートリアル：陶謙の位牌をクリックしてください。,チュートリアル：陶謙の位牌をクリックしてください。,标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
蜡烛,蜡烛,ろうそく,ろうそく,术语冲突；原译评分6/10；日语玩家感受：能看懂大意，但会觉得术语不统一、不像同一款游戏。
请点击政策获取施政的详细信息,请点击政策获取施政的详细信息,政策をクリックして、施政の詳細情報を確認してください。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
风好大，灯笼被吹灭了,风好大，灯笼被吹灭了,風が強くて、提灯が消えてしまった。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
太黑了，我觉得我头有亿点点晕,太黑了，我觉得我头有亿点点晕,暗すぎて、少しだけ頭がくらくらしている気がする。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
教程,教程,チュートリアル,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
请拾起未熄灭的蜡烛,请拾起未熄灭的蜡烛,消えていないろうそくを拾ってください。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
我的眼神看的不是很清楚...这里肯定有什么东西，可以照亮这块区域,我的眼神看的不是很清楚...这里肯定有什么东西，可以照亮这块区域,目がよく見えない…このエリアを照らす何かがあるはずだ。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
我可以用这微弱的火源寻找熄灭的灯并点亮它,我可以用这微弱的火源寻找熄灭的灯并点亮它,このかすかな火を使って、消えた灯を見つけて点け直すことができる。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
找到熄灭的灯源并点亮它,找到熄灭的灯源并点亮它,消えた灯りを見つけて、再び点けてください。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
很好，我可以看清整个房间里的东西了,很好，我可以看清整个房间里的东西了,よかった、これで部屋の中のものが全部はっきり見える。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
等等 这是,等等 这是,えっ、これは何？,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
陶谦的牌位...他怎么会？而我为什么会在这里,陶谦的牌位...他怎么会？而我为什么会在这里,陶謙の位牌…彼がどうして？そして、私はなぜここにいるのか？,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
好像 牌位上有什么机关，点击看看,好像 牌位上有什么机关，要不点击看看？,位牌に何か仕掛けがあるようだ……クリックしてみようか？,位牌に何か仕掛けがあるようだ……クリックしてみようか？,标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
请点击陶谦的牌位,请点击陶谦的牌位,陶謙の位牌をクリックしてください。,陶謙の位牌をクリックしてください。,标点格式；原译评分8/10；日语玩家感受：基本自然，只会注意到少量格式或用词问题。
有什么东西被打开了,有什么东西被打开了,何かが開かれました。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
这是...书？,这是...书？,これは…本？,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
士族生存法则，这是啥?,士族存续怪谈，这是啥?,「士族存続守則」、これは何？,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
啊！,啊！,あっ！,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
"陶商少爷,灵堂发生什么事了，需要我进来帮忙么？","陶商少爷,灵堂发生什么事了，需要我进来帮忙么？",陶商様、霊堂で何があったのですか？中に入ってお手伝いしましょうか？,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
不用了，我一个人给父亲守灵就行..,不用了，我一个人给父亲守灵就行..,いいえ、父のために一人で守りをすれば大丈夫です。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
我是陶商...怎么回事，我不应该名字叫刘备么？我想我应该在小沛.,我是陶商...怎么回事，我不应该名字叫刘备么？我想我应该在小沛.,私は陶商…どういうことだ？私は劉備という名前ではないのか？小沛にいるはずだと思う。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
纸张背后好像还有字..我瞧瞧..,纸张背后好像还有字..我瞧瞧..,紙の裏にも何か書かれているようだ…ちょっと見てみよう…。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
家仆,家仆,従者,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
家仆(邪恶),家仆(邪恶),家来（邪悪）,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
少爷，我进来了 嘿嘿,少爷，我进来了 嘿嘿,若様、入りましたよ。へへ。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
你...你为什么带着刀,你...你为什么带着刀,お前…なぜ刀を持っているんだ？,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
啊,啊,ぎゃあああ,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
刘备,刘备,劉備,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
啊..原来是一场噩梦..,啊..原来是一场噩梦..,ああ…これはただの悪夢だったのか…。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
前些日子一直在徐州办事，昨天晚上刚回来，劳累太大,前些日子一直在徐州办事，昨天晚上刚回来，劳累太大,最近ずっと徐州で用事をこなしていて、昨晩ようやく戻ってきた。疲労が大きい。,【无修改】,无明显问题；原译评分9/10；日语玩家感受：清晰自然，符合三国策略RPG语境。
