id,en,zh,repair,reason
教程：请拾起未熄灭的蜡烛,Tutorial: Pick up the still-burning candle.,教程：请拾起未熄灭的蜡烛,Tutorial: Pick up the still-burning candle.,术语冲突/语义错；原译评分4/10；英文玩家感受：会觉得像错译或漏译，剧情理解受阻。
教程：找到熄灭的灯源并点亮它,Tutorial: Find the extinguished lamp and relight it.,教程：找到熄灭的灯源并点亮它,Tutorial: Find the extinguished lamp and relight it.,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
教程：请点击陶谦的牌位,Tutorial: Click Tao Qian's memorial tablet.,教程：请点击陶谦的牌位,Tutorial: Click Tao Qian's memorial tablet.,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
蜡烛,Candle,蜡烛,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
请点击政策获取施政的详细信息,Please click on the policy to view detailed administrative information.,请点击政策获取施政的详细信息,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
风好大，灯笼被吹灭了,"The wind is strong, the lantern has been blown out.",风好大，灯笼被吹灭了,"The wind is strong, the lantern has been blown out.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
太黑了，我觉得我头有亿点点晕,"It's too dark, I feel a tiny bit dizzy.",太黑了，我觉得我头有亿点点晕,"It's too dark, I feel a tiny bit dizzy.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
教程,Tutorial,教程,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
请拾起未熄灭的蜡烛,Pick up the still-burning candle.,请拾起未熄灭的蜡烛,Pick up the still-burning candle.,术语冲突/语义错；原译评分4/10；英文玩家感受：会觉得像错译或漏译，剧情理解受阻。
我的眼神看的不是很清楚...这里肯定有什么东西，可以照亮这块区域,My vision isn't very clear... There must be something here that can light up this area.,我的眼神看的不是很清楚...这里肯定有什么东西，可以照亮这块区域,My vision isn't very clear... There must be something here that can light up this area.,标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
我可以用这微弱的火源寻找熄灭的灯并点亮它,I can use this faint flame to find the extinguished lamp and relight it.,我可以用这微弱的火源寻找熄灭的灯并点亮它,I can use this faint flame to find the extinguished lamp and relight it.,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
找到熄灭的灯源并点亮它,Find the extinguished lamp and relight it.,找到熄灭的灯源并点亮它,Find the extinguished lamp and relight it.,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
很好，我可以看清整个房间里的东西了,"Great, now I can see everything in the room clearly.",很好，我可以看清整个房间里的东西了,"Great, now I can see everything in the room clearly.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
等等 这是,"Wait, what is this?",等等 这是,"Wait, what is this?",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
陶谦的牌位...他怎么会？而我为什么会在这里,Tao Qian's memorial tablet... How could it be? And why am I here?,陶谦的牌位...他怎么会？而我为什么会在这里,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
好像 牌位上有什么机关，点击看看,It seems like there's a mechanism on the memorial tablet. Click to check it out.,好像 牌位上有什么机关，要不点击看看？,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
请点击陶谦的牌位,Click Tao Qian's memorial tablet.,请点击陶谦的牌位,Click Tao Qian's memorial tablet.,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
有什么东西被打开了,Something has been opened.,有什么东西被打开了,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
这是...书？,This is... a book?,这是...书？,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
士族生存法则，这是啥?,Strange Tales of Literati Survival... what is this?,士族存续怪谈，这是啥?,Strange Tales of Literati Survival... what is this?,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
啊！,Ah!,啊！,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
"陶商少爷,灵堂发生什么事了，需要我进来帮忙么？","Master Tao Shang, what happened in the mourning hall? Do you need me to come in and help?","陶商少爷,灵堂发生什么事了，需要我进来帮忙么？",【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
不用了，我一个人给父亲守灵就行..,"No need, I can keep vigil for my father alone.",不用了，我一个人给父亲守灵就行..,"No need, I can keep vigil for my father alone.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
我是陶商...怎么回事，我不应该名字叫刘备么？我想我应该在小沛.,I am Tao Shang... What's going on? Shouldn't my name be Liu Bei? I think I should be in Xiaopei.,我是陶商...怎么回事，我不应该名字叫刘备么？我想我应该在小沛.,I am Tao Shang... What's going on? Shouldn't my name be Liu Bei? I think I should be in Xiaopei.,标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
纸张背后好像还有字..我瞧瞧..,It seems like there's more writing on the back of the paper... Let me take a look...,纸张背后好像还有字..我瞧瞧..,It seems like there's more writing on the back of the paper... Let me take a look...,标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
家仆,Servant,家仆,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
家仆(邪恶),Servant (Evil),家仆(邪恶),【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
少爷，我进来了 嘿嘿,"Master, I've come in. Hehe.",少爷，我进来了 嘿嘿,"Master, I've come in. Hehe.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
你...你为什么带着刀,You... why are you carrying a knife?,你...你为什么带着刀,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
啊,Aaaah!,啊,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
刘备,Liu Bei,刘备,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
啊..原来是一场噩梦..,Ah... it was just a nightmare...,啊..原来是一场噩梦..,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
前些日子一直在徐州办事，昨天晚上刚回来，劳累太大,"I've been handling affairs in Xuzhou for the past few days, and I just returned last night. The exhaustion is overwhelming.",前些日子一直在徐州办事，昨天晚上刚回来，劳累太大,"I've been handling affairs in Xuzhou for the past few days, and I just returned last night. The exhaustion is overwhelming.",拗口难配音；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
(不过能做这样的噩梦，很可能与这边的烂摊子有关..),"(However, having such a nightmare is probably related to the mess over here... )",（不过能做这样的噩梦，很可能与这边的烂摊子有关..）,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
大人，外面有人求见,"Master, someone outside is asking to see you.",大人，外面有人求见,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
仆人,Servant,仆人,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
好吧 让他进来吧,"Alright, let him in.",好吧 让他进来吧,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
（我总是预感有什么大事要发生，我想花时间筹备下）,"(I always have a feeling that something big is going to happen, so I want to take some time to prepare.)",（我总是预感有什么大事要发生，我想花时间筹备下）,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
陈群,Chen Qun,陈群,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
将军 时候不早了，该去处理政务了,"General, it's getting late, it's time to handle the government affairs.",将军 时候不早了，该去处理政务了,"General, it's getting late, it's time to handle the government affairs.",标点格式/拗口难配音；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
会有很多政务需要处理么...,Will there be a lot of government affairs to handle...?,会有很多政务需要处理么...,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
当然，不过如果将军你想图清闲，可以把这些事情交给我们这些当地的大家族，你只需要在上面签字就行,"Of course, but if you, General, want to take it easy, you can leave these matters to us, the local noble families. You just need to sign off on them.",当然，不过如果将军你想图清闲，可以把这些事情交给我们这些当地的大家族，你只需要在上面签字就行,"Of course, but if you, General, want to take it easy, you can leave these matters to us, the local noble families. You just need to sign off on them.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
不，不行，我之前说过，陶公把 所有小沛的事务交给我，是对我的信任，再者，我也得向治下百姓负责，以后徐州所有事情必须一一向我请示,"No, that's not acceptable. I've said before that Tao Qian entrusted all the affairs of Xiaopei to me, and that's a sign of his trust. Moreover, I must be responsible to the people under my rule. From now on, all matters in Xuzhou must be reported to me for approval.",不，不行，我之前说过，陶公把 所有小沛的事务交给我，是对我的信任，再者，我也得向治下百姓负责，以后徐州所有事情必须一一向我请示,"No, that's not acceptable. I've said before that Tao Qian entrusted all the affairs of Xiaopei to me, and that's a sign of his trust. Moreover, I must be responsible to the people under my rule. From now on, all matters in Xuzhou must be reported to me for approval.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
如果真要这样的话 ，如你所愿 将军,"If that's truly what you want, as you wish, General.",如果真要这样的话 ，如你所愿 将军,"If that's truly what you want, as you wish, General.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
让我们重新熟悉下政务操作..,Let's get reacquainted with the government affairs operations...,让我们重新熟悉下政务操作..,Let's get reacquainted with the government affairs operations...,标点格式/拗口难配音；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
您需要前往府邸，在哪里你可以处理基础的政府公文,"You need to go to the manor, where you can handle basic government documents.",您需要前往府邸，在那里你可以处理基础的政府公文,"You need to go to the manor, where you can handle basic government documents.",标点格式/术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
大人，外面有军情急报,"Master, there is an urgent military report outside.",大人，外面有军情急报,"Master, there is an urgent military report outside.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
快请进,"Please, come in quickly.",快请进,"Please, come in quickly.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
将军，我的前同事 也就是杀害曹操他老爹的 如今遁入山林，并当土匪作乱、祸害百姓，陶大人令刘将军派人去协助处理此事,"General, my former colleague, the one who killed Cao Cao's father, has now fled into the mountains, becoming a bandit and causing trouble for the people. Lord Tao has ordered General Liu to send men to assist in handling this matter.",将军，我的前同事 也就是杀害曹操他老爹的 如今遁入山林，并当土匪作乱、祸害百姓，陶大人令刘将军派人去协助处理此事,"General, my former colleague, the one who killed Cao Cao's father, has now fled into the mountains, becoming a bandit and causing trouble for the people. Lord Tao has ordered General Liu to send men to assist in handling this matter.",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
好，我这就安排..,"Alright, I'll make the arrangements right away.",好，我这就安排..,"Alright, I'll make the arrangements right away.",标点格式；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
前往演武场进行征伐任务,Proceed to the Drill Ground to carry out the suppression mission.,前往演武场进行征伐任务,Proceed to the Drill Ground to carry out the suppression mission.,术语冲突；原译评分6/10；英文玩家感受：能看懂大意，但会感觉术语混乱、不够像同一款游戏。
将军，您去小沛开会之前 多次想让我约见一些学者，有好消息传来。郑玄大师愿意接见您！,"General, before you go to Xiaopei for the meeting, you have often wanted me to arrange meetings with some scholars. Good news has arrived—Master Zheng Xuan is willing to meet with you!",将军，您去小沛开会之前 多次想让我约见一些学者，有好消息传来。郑玄大师愿意接见您！,"General, before you go to Xiaopei for the meeting, you have often wanted me to arrange meetings with some scholars. Good news has arrived—Master Zheng Xuan is willing to meet with you!",标点格式/句式过长口型不匹配；原译评分7/10；英文玩家感受：能理解，但台词偏机器腔，朗读不够顺。
真的？郑大师同意见我了,Really? Master Zheng agreed to see me?,真的？郑大师同意见我了,【无修改】,无明显问题；原译评分9/10；英文玩家感受：清楚自然，符合三国策略RPG语境。
