id,zh,ru,repair,reson
教程：请拾起未熄灭的蜡烛,教程：请拾起未熄灭的蜡烛,Обучение: Поднимите незатушенную свечу,,
教程：找到熄灭的灯源并点亮它,教程：找到熄灭的灯源并点亮它,Обучение: найдите потухший фонарь и зажгите его.,,
教程：请点击陶谦的牌位,教程：请点击陶谦的牌位,Обучение: Нажмите на поминальную табличку Тао Цяня ,,
蜡烛,蜡烛,Свеча,,
请点击政策获取施政的详细信息,请点击政策获取施政的详细信息,"Пожалуйста, нажмите на политику, чтобы получить подробную информацию о действиях.",,
风好大，灯笼被吹灭了,风好大，灯笼被吹灭了,"Ветер сильный, фонарик погас.",,
太黑了，我觉得我头有亿点点晕,太黑了，我觉得我头有亿点点晕,"Слишком темно, мне немного кружится голова.",,
教程,教程,руководство,,
请拾起未熄灭的蜡烛,请拾起未熄灭的蜡烛,"Пожалуйста, подними неугасимую свечу.",,
我的眼神看的不是很清楚...这里肯定有什么东西，可以照亮这块区域,我的眼神看的不是很清楚...这里肯定有什么东西，可以照亮这块区域,"Мой взгляд не очень ясный... Здесь определенно есть что-то, что может осветить эту область.",,
我可以用这微弱的火源寻找熄灭的灯并点亮它,我可以用这微弱的火源寻找熄灭的灯并点亮它,"Я могу использовать этот слабый источник света, чтобы найти погасший фонарь и зажечь его.",,
找到熄灭的灯源并点亮它,找到熄灭的灯源并点亮它,Найди погасший источник света и зажги его.,,
很好，我可以看清整个房间里的东西了,很好，我可以看清整个房间里的东西了,"Отлично, теперь я могу ясно видеть всё в комнате. ",,
等等 这是,等等 这是,"Подождите, что это?",,
陶谦的牌位...他怎么会？而我为什么会在这里,陶谦的牌位...他怎么会？而我为什么会在这里,Табличка с именем Тао Цяня... Как такое возможно« И почему я здесь»,,
好像 牌位上有什么机关，点击看看,好像 牌位上有什么机关，要不点击看看？,"Похоже, на поминальной табличке есть какой-то механизм. Может, нажмёшь и проверишь? ",,
请点击陶谦的牌位,请点击陶谦的牌位,Нажмите на поминальную табличку Тао Цяня ,,
有什么东西被打开了,有什么东西被打开了,Что-то было открыто.,,
这是...书？,这是...书？,Это... книга?,,
士族生存法则，这是啥?,士族存续怪谈，这是啥?,"«Правила выживания знати», что это? ",,
啊！,啊！,Ах!,,
"陶商少爷,灵堂发生什么事了，需要我进来帮忙么？","陶商少爷,灵堂发生什么事了，需要我进来帮忙么？","Господин Тао Шан, что случилось в траурном зале« Нужно ли мне зайти и помочь»",,
不用了，我一个人给父亲守灵就行..,不用了，我一个人给父亲守灵就行..,"Не нужно, я могу провести бдение за отцом один. ",,
